state,count,population
Alabama,1377,5074296
Alaska,116,733583
American Samoa,3,
Arizona,1010,7359197
Arkansas,1321,3045637
California,5833,39029342
Colorado,1399,5839926
Connecticut,985,3626205
Delaware,252,1018396
District Of Columbia,195,671803
Federated States Of Micronesia,8,
Florida,4366,22244823
Georgia,2075,10912876
Guam,18,
Hawaii,220,1440196
Idaho,430,1939033
Illinois,3767,12582032
Indiana,1793,6833037
Iowa,1458,3200517
Kansas,1380,2937150
Kentucky,1511,4512310
Louisiana,1377,4590241
Maine,446,1385340
Marshall Islands,1,
Maryland,1194,6164660
Massachusetts,1983,6981974
Michigan,2201,10034113
Minnesota,1628,5717184
Mississippi,1118,2940057
Missouri,2152,6177957
Montana,385,1122867
Nebraska,1052,1967923
Nevada,420,3177772
New Hampshire,405,1395231
New Jersey,2376,9261699
New Mexico,412,2113344
New York,4215,19677151
North Carolina,2041,10698973
North Dakota,418,779261
Northern Mariana Islands,8,
Ohio,3157,11756058
Oklahoma,1310,4019800
Oregon,765,4240137
Palau,3,
Pennsylvania,3503,12972008
Puerto Rico,264,3221789
Rhode Island,241,1093734
South Carolina,1174,5282634
South Dakota,438,909824
Tennessee,2018,7051339
Texas,6370,30029572
Utah,519,3380800
Vermont,230,647064
Virgin Islands Of The U.S.,21,
Virginia,1870,8683619
Washington,1464,7785786
West Virginia,565,1775156
Wisconsin,1724,5892539
Wyoming,219,581381
